file-name,sent-length,reg-deriv-size,mwe-deriv-size,chart-nodes-1,chart-arcs-1,agenda-nodes-1,agenda-arcs-1,encodes-reg-1,encodes-mwe-1,chart-nodes-2,chart-arcs-2,agenda-nodes-2,agenda-arcs-2,encodes-reg-2,encodes-mwe-2
NKJP_1M_001000-DziennikPolski1980/morph_3-p/morph_3.47-s.xml,9,9,5,149,172,33,45,0,1,270,362,0,0,1,1
NKJP_1M_001000-DziennikPolski1980/morph_3-p/morph_3.55-s.xml,8,8,6,107,106,5,5,0,1,177,200,0,0,1,1
NKJP_1M_001000-DziennikPolski1980/morph_4-p/morph_4.19-s.xml,19,18,17,1711,3330,40,96,1,1,1819,3821,0,0,1,1
NKJP_1M_001000-DziennikPolski1980/morph_4-p/morph_4.65-s.xml,16,15,14,945,1502,81,213,1,1,1075,1828,0,0,1,1
NKJP_1M_001000-DziennikPolski1980/morph_8-p/morph_8.63-s.xml,7,7,6,202,246,7,7,1,1,211,258,0,0,1,1
NKJP_1M_010200-ZycieWarszawyPLUSZycie/morph_103-p/morph_103.10-s.xml,10,10,9,403,539,3,3,0,1,408,552,0,0,1,1
NKJP_1M_010200-ZycieWarszawyPLUSZycie/morph_112-p/morph_112.10-s.xml,10,10,8,162,158,8,8,0,1,219,236,0,0,1,1
NKJP_1M_010200-ZycieWarszawyPLUSZycie/morph_112-p/morph_112.26-s.xml,16,15,14,819,1076,47,70,1,1,886,1173,0,0,1,1
NKJP_1M_010200-ZycieWarszawyPLUSZycie/morph_113-p/morph_113.15-s.xml,15,15,13,1118,1663,111,148,0,1,1347,2095,0,0,1,1
NKJP_1M_010200-ZycieWarszawyPLUSZycie/morph_117-p/morph_117.38-s.xml,7,7,6,118,116,2,2,1,1,121,119,0,0,1,1
NKJP_1M_010200-ZycieWarszawyPLUSZycie/morph_123-p/morph_123.17-s.xml,17,17,16,884,1137,63,75,1,1,949,1223,0,0,1,1
NKJP_1M_010200-ZycieWarszawyPLUSZycie/morph_140-p/morph_140.52-s.xml,20,20,19,1511,2284,93,109,1,1,1690,2587,0,0,1,1
