sent-length,reg-deriv-size,mwe-deriv-size,chart-nodes-1,chart-arcs-1,agenda-nodes-1,agenda-arcs-1,encodes-reg-1,encodes-mwe-1,chart-nodes-2,chart-arcs-2,agenda-nodes-2,agenda-arcs-2,encodes-reg-2,encodes-mwe-2
9,9,5,163,187,94,108,0,1,413,536,0,0,1,1
8,8,6,150,157,64,75,1,1,270,307,0,0,1,1
19,18,17,1822,3824,346,651,1,1,2654,5685,0,0,1,1
16,15,14,946,1503,288,437,1,1,1474,2433,0,0,1,1
7,7,6,206,253,46,46,1,1,303,366,0,0,1,1
10,10,9,410,554,115,122,1,1,574,755,0,0,1,1
10,10,8,208,220,78,79,1,1,345,378,0,0,1,1
16,15,14,844,1110,170,207,1,1,1097,1464,0,0,1,1
15,15,13,1215,1870,303,389,1,1,1676,2571,0,0,1,1
7,7,6,120,118,57,57,1,1,188,186,0,0,1,1
17,17,16,887,1148,192,218,1,1,1137,1450,0,0,1,1
20,20,19,1633,2490,322,336,1,1,2203,3338,0,0,1,1
11,11,8,220,255,56,58,0,1,479,676,0,0,1,1
7,7,6,73,68,20,20,1,1,120,122,0,0,1,1
21,21,20,2322,4167,456,565,1,1,3108,5659,0,0,1,1
23,23,20,3512,7828,716,936,1,1,5101,10847,0,0,1,1
14,13,12,1005,1445,209,248,1,1,1323,1965,0,0,1,1
14,13,12,404,514,155,186,1,1,687,921,0,0,1,1
15,13,11,1309,2569,338,539,1,1,1851,3601,0,0,1,1
10,9,8,233,246,127,131,1,1,454,512,0,0,1,1
16,16,15,2001,5110,452,584,1,1,2984,6898,0,0,1,1
18,18,16,2114,4138,600,1011,1,1,3083,6084,0,0,1,1
10,10,9,386,528,237,322,0,0,912,1398,0,0,1,1
20,20,15,1186,1806,534,711,1,1,2462,4016,0,0,1,1
17,17,14,1924,3807,477,758,1,1,2575,5024,0,0,1,1
10,10,9,200,218,37,37,1,1,268,290,0,0,1,1
8,7,5,99,97,30,31,1,1,157,157,0,0,1,1
21,21,20,2562,4724,740,863,1,1,3997,7150,0,0,1,1
15,14,12,1642,2986,494,795,1,1,2319,4439,0,0,1,1
10,9,7,511,942,62,80,1,1,649,1164,0,0,1,1
6,6,4,77,74,21,21,0,1,127,131,0,0,1,1
5,5,4,88,87,24,24,1,1,117,117,0,0,1,1
18,17,16,1227,1987,498,600,1,1,2271,3833,0,0,1,1
16,15,14,932,1579,199,225,1,1,1423,2387,0,0,1,1
11,11,8,598,1109,205,290,0,1,1144,2130,0,0,1,1
8,8,7,397,526,123,128,1,1,618,847,0,0,1,1
15,15,13,1148,1609,309,372,1,1,1630,2307,0,0,1,1
15,15,14,606,852,307,366,1,1,1285,1927,0,0,1,1
22,20,19,6490,18710,1323,2949,1,1,8329,24132,0,0,1,1
8,8,6,161,177,37,44,0,1,237,287,0,0,1,1
19,19,18,3172,8952,881,1227,1,1,5227,13610,0,0,1,1
7,7,6,201,247,38,38,1,1,293,369,0,0,1,1
8,7,6,183,189,44,44,1,1,237,244,0,0,1,1
7,7,6,108,111,22,22,1,1,146,154,0,0,1,1
8,8,6,256,292,81,92,1,1,399,474,0,0,1,1
31,31,28,14102,39912,2058,6859,1,1,16691,50682,0,0,1,1
9,8,7,324,384,109,109,1,1,519,631,0,0,1,1
7,7,6,106,103,21,21,0,1,151,166,0,0,1,1
18,17,13,2437,5215,762,1529,1,1,4051,9216,0,0,1,1
13,13,11,501,703,120,133,1,1,774,1055,0,0,1,1
12,12,11,650,982,293,391,0,1,1266,1982,0,0,1,1
36,32,26,3572,6101,820,1185,1,1,5081,8742,0,0,1,1
30,30,28,10478,33754,2136,5544,1,1,13858,46171,0,0,1,1
7,7,6,224,300,41,53,1,1,303,412,0,0,1,1
13,13,12,583,821,207,243,1,1,986,1450,0,0,1,1
13,12,10,423,490,123,143,1,1,673,838,0,0,1,1
13,11,10,1669,3089,383,801,1,1,2294,4545,0,0,1,1
11,11,10,377,556,133,157,1,1,633,925,0,0,1,1
10,10,9,357,435,142,157,0,1,635,814,0,0,1,1
13,12,9,982,1935,197,267,1,1,1405,2741,0,0,1,1
10,9,8,400,565,110,110,1,1,553,747,0,0,1,1
13,13,12,479,716,170,273,0,0,993,1694,0,0,1,1
13,13,12,397,511,79,80,1,1,540,673,0,0,1,1
14,14,13,1148,1944,379,577,0,0,1723,2979,0,0,1,1
12,12,11,696,1047,306,363,1,1,1273,1935,0,0,1,1
14,14,13,566,853,198,225,1,1,933,1359,0,0,1,1
11,11,10,665,1106,196,211,1,1,1079,1719,0,0,1,1
26,23,13,3341,8876,1095,2775,1,1,6340,17888,0,0,1,1
27,26,20,3650,6860,573,882,1,1,4510,8480,0,0,1,1
14,13,11,258,277,86,86,1,1,459,505,0,0,1,1
6,6,5,192,242,75,79,1,1,286,348,0,0,1,1
7,7,5,176,177,47,56,0,1,251,274,0,0,1,1
