sent-length,reg-deriv-size,mwe-deriv-size,chart-nodes-1,chart-arcs-1,agenda-nodes-1,agenda-arcs-1,encodes-reg-1,encodes-mwe-1,chart-nodes-2,chart-arcs-2,agenda-nodes-2,agenda-arcs-2,encodes-reg-2,encodes-mwe-2
9,9,5,79,74,10,10,0,1,133,144,0,0,1,1
8,8,6,88,84,4,4,0,1,122,126,0,0,1,1
19,18,17,788,1400,17,17,0,1,814,1506,0,0,1,1
16,15,14,412,483,13,17,1,1,442,525,0,0,1,1
7,7,6,106,107,1,1,1,1,109,110,0,0,1,1
10,10,9,138,152,1,1,0,1,140,158,0,0,1,1
10,10,8,129,125,3,3,0,1,162,167,0,0,1,1
16,15,14,394,443,11,11,1,1,412,462,0,0,1,1
15,15,13,501,596,25,25,0,1,580,718,0,0,1,1
7,7,6,58,52,1,1,0,1,73,68,0,0,1,1
17,17,16,288,291,6,6,0,1,295,301,0,0,1,1
20,20,19,501,574,5,5,1,1,510,585,0,0,1,1
11,11,8,169,191,11,11,0,1,234,316,0,0,1,1
7,7,6,58,52,0,0,1,1,59,53,0,0,1,1
21,21,20,649,802,2,2,0,1,654,811,0,0,1,1
23,23,20,1299,2180,41,41,0,1,1382,2516,0,0,1,1
14,13,12,393,454,24,29,1,1,435,517,0,0,1,1
14,13,12,188,202,1,1,1,1,190,204,0,0,1,1
15,13,11,370,452,18,18,0,1,597,893,0,0,1,1
10,9,8,141,134,7,7,1,1,167,163,0,0,1,1
16,16,15,1058,2118,7,7,0,1,1116,2305,0,0,1,1
18,18,16,789,1048,11,11,0,1,914,1295,0,0,1,1
10,10,9,286,352,9,9,0,1,300,378,0,0,1,1
20,20,15,521,624,29,38,0,1,782,1033,0,0,1,1
17,17,14,519,765,35,35,0,1,612,988,0,0,1,1
10,10,9,115,108,0,0,1,1,120,114,0,0,1,1
8,7,5,67,61,0,0,1,1,70,64,0,0,1,1
21,21,20,676,844,36,36,0,1,748,942,0,0,1,1
15,14,12,364,407,16,16,0,1,546,684,0,0,1,1
10,9,7,259,340,29,29,0,1,312,474,0,0,1,1
6,6,4,61,55,2,2,0,1,73,71,0,0,1,1
5,5,4,38,33,0,0,0,1,38,34,0,0,1,1
18,17,16,277,288,1,1,1,1,279,290,0,0,1,1
16,15,14,379,453,9,9,0,1,394,479,0,0,1,1
11,11,8,253,325,20,20,0,1,419,621,0,0,1,1
8,8,7,182,197,19,22,0,1,264,312,0,0,1,1
15,15,13,222,216,10,10,0,1,293,301,0,0,1,1
15,15,14,375,425,1,1,1,1,377,429,0,0,1,1
22,20,19,1828,2832,98,98,0,1,2298,3638,0,0,1,1
8,8,6,140,156,7,7,0,1,179,223,0,0,1,1
19,19,18,1041,1882,75,153,0,1,1590,3752,0,0,1,1
7,7,6,94,93,5,5,0,1,104,110,0,0,1,1
8,7,6,81,75,8,8,0,1,96,92,0,0,1,1
7,7,6,65,59,0,0,0,1,66,61,0,0,1,1
8,8,6,137,140,5,5,0,1,168,175,0,0,1,1
31,31,28,3089,5046,160,321,1,1,3389,5829,0,0,1,1
9,8,7,169,181,3,3,1,1,176,188,0,0,1,1
7,7,6,64,57,0,0,0,1,71,70,0,0,1,1
18,17,13,457,618,26,26,0,1,731,1017,0,0,1,1
13,13,11,234,257,2,2,0,1,239,267,0,0,1,1
12,12,11,229,230,5,5,0,1,244,255,0,0,1,1
36,32,26,1299,1837,50,70,0,1,1574,2199,0,0,1,1
30,30,28,1874,2758,31,50,1,1,1997,2966,0,0,1,1
7,7,6,109,118,6,6,0,1,118,134,0,0,1,1
13,13,12,289,325,4,4,0,1,293,336,0,0,1,1
13,12,10,100,88,15,15,0,1,180,174,0,0,1,1
13,11,10,295,320,33,36,1,1,342,372,0,0,1,1
11,11,10,227,246,4,4,0,1,264,302,0,0,1,1
10,10,9,227,259,21,21,0,1,264,309,0,0,1,1
13,12,9,405,496,19,19,0,1,473,655,0,0,1,1
10,9,8,120,115,3,3,1,1,132,129,0,0,1,1
13,13,12,303,414,39,41,0,0,432,712,0,0,1,1
13,13,12,261,306,10,10,0,1,272,322,0,0,1,1
14,14,13,405,540,22,22,0,0,571,803,0,0,1,1
12,12,11,284,309,0,0,1,1,285,310,0,0,1,1
14,14,13,266,290,7,7,0,1,275,302,0,0,1,1
11,11,10,205,219,3,3,0,1,211,233,0,0,1,1
26,23,13,840,1197,80,84,0,1,2175,4922,0,0,1,1
27,26,20,1067,1317,80,88,0,1,1467,1950,0,0,1,1
14,13,11,218,225,3,3,0,1,234,249,0,0,1,1
6,6,5,71,65,4,4,0,1,78,73,0,0,1,1
7,7,5,51,44,1,1,0,1,62,57,0,0,1,1
7,7,6,143,145,0,0,1,1,144,146,0,0,1,1
14,13,10,203,207,14,15,0,1,340,453,0,0,1,1
20,19,17,737,1119,39,52,1,1,789,1258,0,0,1,1
26,25,23,965,1475,1,1,1,1,967,1477,0,0,1,1
10,10,9,151,158,13,20,0,1,173,192,0,0,1,1
13,13,11,133,124,5,5,0,1,156,164,0,0,1,1
7,7,5,74,69,3,3,0,1,82,78,0,0,1,1
22,21,14,777,999,45,45,0,1,1110,1671,0,0,1,1
12,12,11,197,198,0,0,1,1,225,246,0,0,1,1
18,18,16,556,682,9,9,0,1,657,831,0,0,1,1
18,18,17,839,1079,28,28,0,1,868,1112,0,0,1,1
10,10,9,182,196,1,1,1,1,185,200,0,0,1,1
14,14,13,303,350,11,11,0,1,332,389,0,0,1,1
13,12,11,304,356,11,11,0,1,325,385,0,0,1,1
11,10,9,164,166,1,1,0,1,167,173,0,0,1,1
4,4,3,36,32,3,3,0,1,45,42,0,0,1,1
10,10,7,114,110,7,8,0,1,172,183,0,0,1,1
7,6,5,90,87,13,18,0,1,131,144,0,0,1,1
6,6,5,57,51,3,3,0,1,73,68,0,0,1,1
21,20,19,663,861,20,33,1,1,733,973,0,0,1,1
21,20,19,767,1028,14,16,0,1,783,1054,0,0,1,1
6,6,5,61,57,1,1,1,1,72,68,0,0,1,1
14,13,12,419,474,24,24,0,1,444,503,0,0,1,1
13,13,12,179,180,1,1,1,1,181,182,0,0,1,1
12,12,11,272,313,3,3,1,1,280,324,0,0,1,1
10,10,6,104,101,9,9,0,1,186,192,0,0,1,1
7,7,5,52,45,2,2,0,1,66,64,0,0,1,1
31,28,26,1245,1515,5,6,1,1,1266,1537,0,0,1,1
14,14,13,258,276,12,12,0,1,271,290,0,0,1,1
26,25,24,1704,2535,30,47,1,1,1752,2710,0,0,1,1
8,8,7,98,92,7,9,0,1,110,108,0,0,1,1
14,14,13,235,252,4,4,1,1,240,257,0,0,1,1
9,9,8,125,118,16,24,0,1,149,157,0,0,1,1
