sent-length,reg-deriv-size,mwe-deriv-size,chart-nodes-1,chart-arcs-1,agenda-nodes-1,agenda-arcs-1,encodes-reg-1,encodes-mwe-1,chart-nodes-2,chart-arcs-2,agenda-nodes-2,agenda-arcs-2,encodes-reg-2,encodes-mwe-2
9,9,5,88,84,18,20,0,1,161,174,0,0,1,1
8,8,6,103,102,27,30,1,1,154,159,0,0,1,1
19,18,17,806,1498,213,213,1,1,1302,2230,0,0,1,1
16,15,14,412,483,70,76,1,1,557,665,0,0,1,1
7,7,6,107,108,17,17,1,1,138,141,0,0,1,1
10,10,9,140,158,34,34,1,1,201,226,0,0,1,1
10,10,8,129,125,25,25,0,1,217,228,0,0,1,1
16,15,14,404,454,48,48,1,1,486,547,0,0,1,1
15,15,13,545,679,98,99,1,1,727,886,0,0,1,1
7,7,6,72,67,14,14,1,1,91,86,0,0,1,1
17,17,16,290,296,44,44,1,1,360,368,0,0,1,1
20,20,19,502,575,87,87,1,1,672,773,0,0,1,1
11,11,8,169,191,35,35,0,1,304,408,0,0,1,1
7,7,6,58,52,6,6,1,1,77,71,0,0,1,1
21,21,20,653,810,92,92,1,1,877,1093,0,0,1,1
23,23,20,1383,2517,192,227,1,1,1814,3164,0,0,1,1
14,13,12,422,501,94,101,1,1,610,766,0,0,1,1
14,13,12,188,202,43,50,1,1,261,294,0,0,1,1
15,13,11,423,531,109,114,0,1,712,1017,0,0,1,1
10,9,8,141,134,53,53,1,1,275,281,0,0,1,1
16,16,15,1087,2276,144,198,1,1,1332,2596,0,0,1,1
18,18,16,874,1184,153,221,1,1,1214,1686,0,0,1,1
10,10,9,291,366,100,105,1,1,469,605,0,0,1,1
20,20,15,703,903,242,317,1,1,1320,1853,0,0,1,1
17,17,14,583,951,79,96,1,1,693,1078,0,0,1,1
10,10,9,119,113,16,16,1,1,147,142,0,0,1,1
8,7,5,67,61,7,7,1,1,85,79,0,0,1,1
21,21,20,724,918,155,161,1,1,1000,1267,0,0,1,1
15,14,12,481,572,169,205,1,1,812,1073,0,0,1,1
10,9,7,310,455,56,63,1,1,374,536,0,0,1,1
6,6,4,68,62,12,12,0,1,90,88,0,0,1,1
5,5,4,38,33,11,11,0,1,51,47,0,0,1,1
18,17,16,278,289,76,76,1,1,441,482,0,0,1,1
16,15,14,382,465,54,54,1,1,482,592,0,0,1,1
11,11,8,369,522,93,133,0,1,590,906,0,0,1,1
8,8,7,246,284,78,82,1,1,383,460,0,0,1,1
15,15,13,263,269,57,57,1,1,379,398,0,0,1,1
15,15,14,376,428,138,151,1,1,621,756,0,0,1,1
22,20,19,2173,3513,430,482,1,1,2799,4483,0,0,1,1
8,8,6,140,156,25,25,0,1,210,257,0,0,1,1
19,19,18,1593,3755,162,162,1,1,2017,4311,0,0,1,1
7,7,6,104,110,13,13,1,1,133,144,0,0,1,1
8,7,6,82,78,19,19,1,1,120,116,0,0,1,1
7,7,6,66,61,6,6,1,1,76,71,0,0,1,1
8,8,6,149,154,45,45,1,1,223,233,0,0,1,1
31,31,28,3233,5529,428,497,1,1,3941,6715,0,0,1,1
9,8,7,175,187,37,37,1,1,240,256,0,0,1,1
7,7,6,66,59,16,16,0,1,94,93,0,0,1,1
18,17,13,666,942,186,241,1,1,1013,1411,0,0,1,1
13,13,11,238,266,66,72,1,1,375,431,0,0,1,1
12,12,11,237,243,66,69,0,1,362,386,0,0,1,1
36,32,26,1413,1982,232,287,1,1,1847,2607,0,0,1,1
30,30,28,1979,2947,329,426,1,1,2486,3624,0,0,1,1
7,7,6,109,118,29,32,0,1,157,180,0,0,1,1
13,13,12,292,330,51,58,0,1,389,455,0,0,1,1
13,12,10,171,163,35,35,1,1,241,241,0,0,1,1
13,11,10,327,357,47,47,1,1,419,464,0,0,1,1
11,11,10,263,301,57,66,1,1,382,452,0,0,1,1
10,10,9,250,288,66,70,0,1,375,452,0,0,1,1
13,12,9,443,580,63,73,1,1,563,756,0,0,1,1
10,9,8,133,130,39,39,1,1,195,193,0,0,1,1
13,13,12,363,488,92,127,0,0,626,959,0,0,1,1
13,13,12,261,306,37,37,0,1,317,370,0,0,1,1
14,14,13,425,566,72,78,0,0,683,935,0,0,1,1
12,12,11,285,310,80,93,1,1,438,512,0,0,1,1
14,14,13,267,293,84,84,1,1,448,521,0,0,1,1
11,11,10,210,232,44,46,1,1,327,374,0,0,1,1
26,23,13,1322,2155,416,726,0,1,2989,6519,0,0,1,1
27,26,20,1399,1848,229,252,1,1,1719,2262,0,0,1,1
14,13,11,230,245,49,49,1,1,327,353,0,0,1,1
6,6,5,76,71,28,28,1,1,112,107,0,0,1,1
7,7,5,57,50,10,10,0,1,76,71,0,0,1,1
7,7,6,144,146,50,50,1,1,204,209,0,0,1,1
14,13,10,264,296,52,70,0,1,419,538,0,0,1,1
20,19,17,763,1232,106,121,1,1,1010,1553,0,0,1,1
26,25,23,972,1482,117,126,1,1,1182,1730,0,0,1,1
10,10,9,166,180,30,33,0,1,212,232,0,0,1,1
13,13,11,155,163,20,20,1,1,189,197,0,0,1,1
7,7,5,78,74,18,18,1,1,105,101,0,0,1,1
22,21,14,843,1099,115,132,0,1,1412,2116,0,0,1,1
12,12,11,225,244,27,29,1,1,271,295,0,0,1,1
18,18,16,647,820,101,101,1,1,931,1195,0,0,1,1
18,18,17,842,1086,152,168,1,1,1091,1374,0,0,1,1
10,10,9,184,199,47,47,1,1,274,303,0,0,1,1
14,14,13,322,377,69,76,1,1,440,517,0,0,1,1
13,12,11,319,379,63,63,1,1,402,468,0,0,1,1
11,10,9,166,172,27,27,1,1,220,229,0,0,1,1
4,4,3,37,33,12,12,0,1,61,58,0,0,1,1
10,10,7,119,119,28,28,0,1,232,250,0,0,1,1
7,6,5,97,95,28,35,0,1,172,188,0,0,1,1
6,6,5,71,66,29,29,1,1,108,103,0,0,1,1
21,20,19,709,944,116,121,1,1,929,1223,0,0,1,1
21,20,19,769,1035,115,124,1,1,1021,1359,0,0,1,1
6,6,5,61,57,14,14,1,1,100,97,0,0,1,1
14,13,12,421,480,106,108,1,1,598,696,0,0,1,1
13,13,12,179,180,43,43,1,1,256,262,0,0,1,1
12,12,11,277,321,55,55,1,1,391,456,0,0,1,1
10,10,6,130,128,36,37,0,1,235,246,0,0,1,1
7,7,5,52,45,8,8,0,1,77,75,0,0,1,1
31,28,26,1254,1525,109,117,1,1,1486,1839,0,0,1,1
14,14,13,259,278,48,48,1,1,339,366,0,0,1,1
26,25,24,1745,2684,277,360,1,1,2410,3823,0,0,1,1
8,8,7,100,94,26,28,0,1,141,140,0,0,1,1
14,14,13,235,252,20,20,1,1,283,302,0,0,1,1
9,9,8,145,150,29,31,0,1,191,202,0,0,1,1
7,7,6,66,60,6,6,0,1,90,90,0,0,1,1
17,17,16,387,433,92,92,1,1,612,706,0,0,1,1
26,25,24,963,1434,190,256,1,1,1361,2004,0,0,1,1
12,11,9,181,210,81,85,0,1,361,433,0,0,1,1
6,6,5,55,51,17,17,1,1,83,80,0,0,1,1
6,6,5,74,69,16,16,1,1,112,108,0,0,1,1
15,14,12,623,852,145,217,1,1,1013,1492,0,0,1,1
18,18,17,285,314,96,104,1,1,517,603,0,0,1,1
13,13,12,328,399,78,80,1,1,498,642,0,0,1,1
11,10,8,138,134,32,33,0,1,264,289,0,0,1,1
7,7,6,84,80,21,21,1,1,127,124,0,0,1,1
24,23,22,647,785,124,136,1,1,892,1103,0,0,1,1
18,16,14,306,322,70,74,1,1,423,464,0,0,1,1
10,9,8,117,122,36,36,1,1,180,190,0,0,1,1
18,18,17,267,279,45,46,1,1,378,410,0,0,1,1
16,16,13,379,433,129,145,1,1,643,788,0,0,1,1
12,11,10,373,482,120,136,1,1,566,755,0,0,1,1
7,7,6,95,106,15,15,1,1,121,135,0,0,1,1
13,13,11,256,263,59,61,1,1,362,392,0,0,1,1
7,7,6,64,58,20,20,0,1,106,106,0,0,1,1
5,5,4,74,75,22,23,1,1,109,117,0,0,1,1
14,14,12,253,265,56,56,1,1,360,394,0,0,1,1
12,9,8,201,198,74,74,1,1,324,331,0,0,1,1
11,11,10,252,301,76,80,1,1,370,451,0,0,1,1
15,15,14,270,323,85,85,1,1,440,520,0,0,1,1
4,4,3,31,27,11,11,0,1,46,44,0,0,1,1
18,18,16,435,470,76,77,1,1,583,638,0,0,1,1
7,7,6,74,71,11,11,1,1,97,95,0,0,1,1
12,12,11,303,341,67,67,1,1,438,512,0,0,1,1
11,11,10,185,188,37,38,0,1,239,252,0,0,1,1
17,16,15,386,445,86,86,1,1,539,612,0,0,1,1
13,13,12,432,560,137,146,1,1,672,879,0,0,1,1
8,8,7,75,71,21,21,1,1,117,120,0,0,1,1
8,8,7,77,73,23,23,1,1,121,124,0,0,1,1
12,12,10,282,344,89,91,1,1,419,506,0,0,1,1
9,9,8,133,139,44,46,1,1,213,235,0,0,1,1
15,15,12,452,536,151,223,1,1,759,1059,0,0,1,1
13,11,10,198,202,41,41,1,1,265,275,0,0,1,1
22,21,20,705,855,86,88,1,1,858,1039,0,0,1,1
13,13,12,590,743,118,140,0,0,825,1079,0,0,1,1
15,15,14,418,480,51,51,1,1,491,560,0,0,1,1
17,17,16,477,568,94,99,1,1,691,854,0,0,1,1
16,16,14,369,456,45,48,1,1,445,542,0,0,1,1
11,11,10,289,304,50,50,1,1,380,404,0,0,1,1
7,7,6,57,52,32,32,0,1,105,103,0,0,1,1
6,5,4,50,44,11,11,0,1,104,104,0,0,1,1
10,10,8,185,193,45,47,0,1,255,279,0,0,1,1
16,16,15,365,442,89,90,1,1,525,656,0,0,1,1
7,7,6,103,105,36,36,1,1,153,159,0,0,1,1
10,10,8,196,209,40,41,1,1,265,289,0,0,1,1
7,6,4,43,36,14,14,0,1,66,60,0,0,1,1
8,8,7,70,64,13,13,0,0,114,111,0,0,1,1
8,7,6,76,75,13,13,1,1,92,91,0,0,1,1
10,8,7,178,180,49,52,1,1,261,273,0,0,1,1
10,10,9,144,146,24,24,1,1,180,186,0,0,1,1
6,6,5,91,95,23,23,1,1,127,135,0,0,1,1
10,10,9,271,290,38,38,1,1,336,363,0,0,1,1
17,17,16,1495,3089,166,214,1,1,1746,3403,0,0,1,1
15,14,13,239,263,43,43,1,1,342,386,0,0,1,1
16,16,13,246,263,65,68,1,1,362,398,0,0,1,1
9,9,8,154,158,37,37,1,1,221,234,0,0,1,1
13,13,11,226,236,47,51,1,1,311,337,0,0,1,1
13,13,10,356,449,83,100,0,1,581,741,0,0,1,1
11,11,10,124,119,22,22,1,1,158,154,0,0,1,1
6,6,5,72,71,27,27,0,1,129,139,0,0,1,1
14,14,10,368,481,97,109,0,1,669,932,0,0,1,1
8,8,7,68,66,16,17,0,1,90,92,0,0,1,1
6,6,5,67,65,11,11,1,1,84,82,0,0,1,1
17,16,15,325,348,71,75,1,1,462,504,0,0,1,1
18,18,16,468,547,126,137,1,1,672,784,0,0,1,1
21,18,17,660,839,75,75,1,1,813,1020,0,0,1,1
11,11,10,154,161,28,28,1,1,191,199,0,0,1,1
10,9,8,114,105,19,19,1,1,150,143,0,0,1,1
8,6,5,161,194,37,39,1,1,220,260,0,0,1,1
12,12,11,187,196,36,36,1,1,266,288,0,0,1,1
12,12,8,207,222,73,79,1,1,344,399,0,0,1,1
21,21,19,791,1032,91,97,1,1,1018,1308,0,0,1,1
16,15,14,668,1013,49,49,1,1,777,1141,0,0,1,1
11,10,9,179,179,51,52,1,1,286,304,0,0,1,1
5,5,4,58,59,17,17,0,1,86,90,0,0,1,1
6,6,5,94,101,24,24,1,1,120,128,0,0,1,1
11,10,9,237,258,78,78,0,1,341,370,0,0,1,1
19,18,17,461,520,49,58,1,1,534,605,0,0,1,1
18,18,16,436,532,89,90,1,1,602,742,0,0,1,1
12,11,10,229,262,26,26,1,1,264,301,0,0,1,1
